days,monkeys,eggs
1, 48, 55
2, 64, 45
3, 74, 29
4, 72, 32
5, 67, 35
6, 59, 33
7, 58, 33
8, 65, 30
9, 58, 25
10, 54, 23
11, 58, 17
12, 53, 18
13, 53, 21
14, 45, 20
15, 40, 18
16, 40, 16
17, 41, 15
18, 36, 15
19, 36, 14
20, 35, 11
21, 36, 11
22, 33, 13
23, 32, 12
24, 29, 14
25, 28, 12
26, 26, 8
27, 24, 8
28, 22, 9
29, 23, 13
30, 23, 8
31, 18, 11
32, 17, 11
33, 19, 9
34, 18, 7
35, 20, 6
36, 19, 4
37, 19, 3
38, 18, 5
39, 16, 4
40, 10, 4
41, 11, 4
42, 13, 2
43, 13, 4
44, 9, 4
45, 8, 4
46, 9, 2
47, 10, 4
48, 9, 3
49, 2, 4
50, 3, 3
51, 3, 1
52, 3, 1
53, 3, 2
54, 3, 1
55, 3, 1
56, 3, 0
57, 2, 1
58, 2, 0
59, 1, 0
60, 1, 0
61, 0, 0
